id,publication_year,cited_by_count,author_ids
W3133462909,2021.0,38,A5039995516|A5063175331|A5035352636
W2005080086,2014.0,37,A5067493080|A5049388099|A5012185534|A5012927472
W2046139478,2010.0,37,A5073180325|A5021346979|A5053938061|A5011228873|A5046546654
W2279094787,2018.0,36,A5103810699|A5079596102|A5031799782|A5021346979|A5011228873
W2906438401,2018.0,36,A5112135278|A5018108132
W1860602624,2015.0,35,A5022023580|A5063354832|A5070801173|A5032482559
W1986371763,2011.0,35,A5032482559|A5059301263|A5038201807
W2521862205,2016.0,34,A5022023580|A5063354832|A5070801173|A5032482559|A5059301263
W2903873356,2018.0,34,A5010455304|A5018108132|A5102959740
W2908727066,2019.0,34,A5032482559|A5026353353|A5059301263|A5089425147|A5057481978|A5000272110|A5052899068
W2080083917,2014.0,33,A5064296964|A5102756489|A5013559230|A5075956753|A5115598991|A5011229206|A5109833231|A5073189960|A5007176508
W1983367249,2009.0,32,A5075405580|A5072428539|A5008132739
W2053115865,2012.0,32,A5063983894|A5032914357|A5018108132|A5000625068|A5024122723
W2936537405,2019.0,32,A5039995516
W2052724358,2015.0,31,A5051127850|A5067897724|A5061900944|A5110249371|A5023301432|A5091176792|A5059507519|A5042663607
W2463270817,2016.0,31,A5076037951|A5008132739|A5035294622
W3016666728,2020.0,31,A5071275454|A5051495554|A5022023580|A5063354832|A5070801173|A5032482559
W2620318785,2018.0,30,A5017294689|A5032482559|A5064957730
W2781927921,2018.0,30,A5112135278|A5018108132
W3157826358,2021.0,30,A5112135278|A5018108132|A5016113998|A5090733079|A5080304748
W3031997423,2020.0,29,A5017294689|A5032482559|A5064957730
W2587067059,2017.0,28,A5026122976|A5018108132|A5061945368|A5081614562
W3204069510,2021.0,28,A5013164931|A5018784231|A5047301239|A5068906697|A5076143079|A5008291667
W2163822658,2010.0,27,A5014647140|A5088553895|A5000038347|A5032779977
W2304785610,2016.0,26,A5073859371|A5036657395|A5008132739|A5030229074
W2900975341,2019.0,26,A5064296964|A5057243118|A5073565809|A5056499434|A5007176508
W4229039601,2022.0,26,A5021589283|A5015319043|A5054777179|A5005813408|A5038616675|A5025790809|A5061913766
W2740838408,2017.0,25,A5017258586|A5037220308|A5101426810|A5101531241
W2755364973,2017.0,25,A5084868777|A5039995516|A5089509156|A5071024354
W2965061406,2019.0,25,A5010455304|A5018108132|A5102959740|A5061945368
W3024363603,2021.0,25,A5047301239|A5076143079|A5032566311|A5013385420|A5005931766|A5064234628|A5050830060|A5008291667
W4283372881,2022.0,25,A5077217656|A5068517634|A5103180781|A5063933395|A5101446790
W4295113662,2022.0,25,A5039995516|A5034268751|A5073547083
W593567644,2015.0,24,A5022023580|A5063354832|A5070801173|A5032482559|A5059301263
W2963997453,2017.0,23,A5101426810|A5037220308|A5020700841
W3192799362,2021.0,23,A5015694492|A5074354806
W2944343747,2019.0,21,A5046036512|A5085836910|A5059015074|A5056583184|A5011228873|A5021346979
W3038616834,2020.0,21,A5080607353|A5110554634|A5089425147|A5032482559|A5059301263
W3200959306,2021.0,21,A5018478540|A5024377883|A5043560852|A5078699564
W4376862950,2023.0,21,A5039651585|A5018108132|A5084821293|A5081614562
W1991632145,2012.0,20,A5039995516
W2598166955,2017.0,19,A5089425147|A5032482559|A5059301263
W4285273736,2022.0,18,A5068906697|A5076143079|A5047301239|A5013164931|A5008291667|A5063847107
W4307921349,2022.0,18,A5045770670|A5101934417|A5089425147|A5032482559|A5059301263|A5085541040
W2286355975,2015.0,17,A5071576677|A5018108132
W3093988010,2021.0,17,A5062137671|A5039995516
W4220744867,2022.0,17,A5039435334|A5018108132
W2094746209,2013.0,16,A5049388099|A5067493080
W2783432127,2017.0,16,A5063327692|A5056583184|A5031461158|A5011228873|A5021346979
W4283207808,2022.0,16,A5074354806|A5015694492
W3017225390,2020.0,15,A5083830744|A5008132739|A5015249696
W3042856599,2020.0,15,A5017294689|A5032482559|A5064957730
W3091288538,2020.0,15,A5058731900
W2912453995,2019.0,14,A5054574752|A5031461158|A5050099046|A5078699564|A5011228873|A5021346979
W3181706945,2021.0,13,A5066276682|A5039995516
W4294203887,2022.0,13,A5031768560|A5039995516
W3157546364,2021.0,12,A5008132739|A5071531173|A5015249696
W4388563667,2023.0,12,A5006794474|A5039995516|A5058796248
W4385801595,2023.0,11,A5089637526|A5053529043|A5090115852|A5039072983|A5101233671|A5092640117
W4387207800,2023.0,11,A5039977048|A5089425147|A5032482559|A5059301263
W1994360749,2006.0,54,A5032482559|A5083819212|A5027706684|A5059301263
W2137693394,2008.0,42,A5046449396|A5011822190
